uuid,professional_persona,sports_persona,arts_persona,travel_persona,culinary_persona,persona,cultural_background,skills_and_expertise,hobbies_and_interests,career_goals_and_ambitions,sex,age,marital_status,education_level,occupation,industry,planning_area,country,interests_seed,skills_seed,skills_and_expertise_list,hobbies_and_interests_list
u-00000,professional 0,sports 0,arts 0,travel 0,culinary 0,Persona 0,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,20,single,bachelor,engineer,tech,Bedok,Singapore,['hobby0hobby1hobby2'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby0hobby1hobby2']
u-00001,professional 1,sports 1,arts 1,travel 1,culinary 1,Persona 1,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,21,married,bachelor,teacher,retail,Tampines,Singapore,['hobby1hobby2hobby3'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby1hobby2hobby3']
u-00002,professional 2,sports 2,arts 2,travel 2,culinary 2,Persona 2,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,22,single,bachelor,designer,media,Woodlands,Singapore,['hobby2hobby3hobby4'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby2hobby3hobby4']
u-00003,professional 3,sports 3,arts 3,travel 0,culinary 3,Persona 3,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,23,married,bachelor,analyst,education,Jurong West,Singapore,['hobby3hobby4hobby5'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby3hobby4hobby5']
u-00004,professional 4,sports 0,arts 4,travel 1,culinary 4,Persona 4,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,24,single,bachelor,manager,finance,Hougang,Singapore,['hobby4hobby5hobby6'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby4hobby5hobby6']
u-00005,professional 5,sports 1,arts 0,travel 2,culinary 5,Persona 5,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,25,married,bachelor,researcher,tech,Bedok,Singapore,['hobby5hobby6hobby7'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby5hobby6hobby7']
u-00006,professional 6,sports 2,arts 1,travel 0,culinary 0,Persona 6,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,26,single,bachelor,engineer,retail,Tampines,Singapore,['hobby6hobby7hobby0'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby6hobby7hobby0']
u-00007,professional 7,sports 3,arts 2,travel 1,culinary 1,Persona 7,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,27,married,bachelor,teacher,media,Woodlands,Singapore,['hobby7hobby0hobby1'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby7hobby0hobby1']
u-00008,professional 8,sports 0,arts 3,travel 2,culinary 2,Persona 8,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,28,single,bachelor,designer,education,Jurong West,Singapore,['hobby0hobby1hobby2'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby0hobby1hobby2']
u-00009,professional 9,sports 1,arts 4,travel 0,culinary 3,Persona 9,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,29,married,bachelor,analyst,finance,Hougang,Singapore,['hobby1hobby2hobby3'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby1hobby2hobby3']
u-00010,professional 0,sports 2,arts 0,travel 1,culinary 4,Persona 10,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,30,single,bachelor,manager,tech,Bedok,Singapore,['hobby2hobby3hobby4'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby2hobby3hobby4']
u-00011,professional 1,sports 3,arts 1,travel 2,culinary 5,Persona 11,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,31,married,bachelor,researcher,retail,Tampines,Singapore,['hobby3hobby4hobby5'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby3hobby4hobby5']
